conversation_id,message_number,annotation,year,month,day,time,message_type,intent_names,content_anonymized,message_id
10e478006a1cd7f14aca45cffb449a37,1,FEHLER: A1_Generisch+A2_Wiederholung,2025,10,14,00:00:29,USER_MESSAGE,null,Kündigen,3914c46ac6d01375f68b10d07a434ef5
10e478006a1cd7f14aca45cffb449a37,2,,2025,10,14,00:00:33,AGENT_MESSAGE,null,"Der 1&1 Assistent unterstützt Sie zu all Ihren Fragen zu den 1&1 Produkten und Services.

Wenn Sie Ihren 1&1 Vertrag kündigen möchten, können Sie dies bequem online über das 1&1 Control-Center vormerken. Hier sind die Schritte, die Sie befolgen können:

* **Kündigung online vormerken**
  * Sie können Ihre Kündigung über das 1&1 Control-Center vormerken. Dies ist einfach und ermöglicht Ihnen, alle wichtigen Daten Ihrer Verträge, wie Laufzeiten, auf einen Blick einzusehen. Anschließend haben Sie 7 Tage Zeit, um die Kündigung telefonisch zu bestätigen. [Mehr erfahren](https://hilfe-center.1und1.de/kuendigung-online)

* **Kündigung im 1&1 Control-Center**
  * Öffnen Sie das 1&1 Control-Center und melden Sie sich mit Ihrer E-Mail-Adresse oder [NUMBER] und Ihrem Passwort an. Wählen Sie den gewünschten Vertrag aus und klicken Sie auf „Vertrag kündigen“. Folgen Sie den Anweisungen, um die Kündigung vorzumerken. [Details hier](https://hilfe-center.1und1.de/vertrag-kuendigen)

Falls Sie eine Sonderkündigung aufgrund besonderer Umstände beantragen möchten, finden Sie weitere Informationen dazu im Artikel [Sonderkündigung beantragen](https://hilfe-center.1und1.de/sonderkuendigung).

Haben Sie dazu oder zu einem anderen Thema noch Fragen?",ab07e7e71be6fb456bfad86295ca604f
10e478006a1cd7f14aca45cffb449a37,3,,2025,10,14,00:04:22,USER_MESSAGE,null,Kündigen,ef3df2953e0126b856c95238081886ea
10e478006a1cd7f14aca45cffb449a37,4,,2025,10,14,00:04:24,AGENT_MESSAGE,null,"Sie möchten Ihren Vertrag mit 1&1 kündigen? Hier sind die Schritte, die Sie befolgen können:

* **Kündigung online vormerken**
  * Sie können Ihre Kündigung über das 1&1 Control-Center vormerken. Dies ist einfach und ermöglicht Ihnen, alle wichtigen Daten Ihrer Verträge, wie Laufzeiten, auf einen Blick einzusehen. Anschließend haben Sie 7 Tage Zeit, um die Kündigung telefonisch zu bestätigen. [Mehr erfahren](https://hilfe-center.1und1.de/kuendigung-online)

* **Kündigung im 1&1 Control-Center**
  * Öffnen Sie das 1&1 Control-Center und melden Sie sich mit Ihrer E-Mail-Adresse oder [NUMBER] und Ihrem Passwort an. Wählen Sie den gewünschten Vertrag aus und klicken Sie auf „Vertrag kündigen“. Folgen Sie den Anweisungen, um die Kündigung vorzumerken. [Details hier](https://hilfe-center.1und1.de/vertrag-kuendigen)

Falls Sie eine Sonderkündigung aufgrund besonderer Umstände beantragen möchten, finden Sie weitere Informationen dazu im Artikel [Sonderkündigung beantragen](https://hilfe-center.1und1.de/sonderkuendigung).

Benötigen Sie weitere Informationen oder Unterstützung bei der Kündigung?",9c711a1fb84a85d609133dcc7831817b
5ae8bc9ad248696496fbb815c11c1275,1,FEHLER: A1_Generisch,2025,10,14,00:00:33,USER_MESSAGE,null,Gutschrift,ecbb41d48e538c1e1e8d2cba754c99f0
5ae8bc9ad248696496fbb815c11c1275,2,,2025,10,14,00:00:36,AGENT_MESSAGE,null,"Der 1&1 Assistent unterstützt Sie zu all Ihren Fragen zu den 1&1 Produkten und Services.

Hier sind Informationen zur Verrechnung von Guthaben und Gutschriften bei 1&1:

* Verrechnung von Guthaben und Gutschriften
  * Startguthaben wird ab dem 4. Abrechnungsmonat mit den monatlichen Grundgebühren verrechnet. Wechslerboni werden mit der nächsten oder übernächsten Rechnung verrechnet. Gutschriften werden ebenfalls bei der nächsten oder übernächsten Rechnung berücksichtigt. [Mehr erfahren](https://hilfe-center.1und1.de/verrechnung)
  * Ihr aktuelles Guthaben oder Gutschrift können Sie jederzeit im 1&1 Control-Center abrufen. [Zum 1&1 Control-Center](https://control-center.1und1.de/)

Haben Sie dazu oder zu einem anderen Thema noch Fragen?",14764643555700bf840afe3fdbcb66d8
6d1253111c18c4d77175e3971231c0f8,1,FEHLER: B1_Unvollstaendig_Preis,2025,10,14,00:00:54,USER_MESSAGE,null,Ich will umbgrentze mobilen daten,480c3efaf87e3c29761e9327dcedc146
6d1253111c18c4d77175e3971231c0f8,2,,2025,10,14,00:00:57,AGENT_MESSAGE,null,"Der **1&1 Assistent** unterstützt Sie zu all Ihren Fragen zu den 1&1 Produkten und Services.

Wenn Sie unbegrenzte mobile Daten wünschen, bietet 1&1 den „Unlimited on demand“-Tarif an. Mit diesem Tarif können Sie zusätzliches Datenvolumen aktivieren, wann immer Sie es benötigen. Hier sind einige Details dazu:

* **Zusätzliches Datenvolumen aktivieren bei Unlimited on demand-Tarifen**
  * Sie können so oft Sie möchten weiteres kostenloses Datenvolumen von je 1 GB freischalten. [Mehr erfahren](https://hilfe-center.1und1.de/unlimited)
  * Sie erhalten eine SMS mit einem Link, sobald Sie ein Datenpaket aktivieren können. Tippen Sie einfach auf den Link, um weiteres Datenvolumen freizuschalten.

* **Aktivieren Sie zusätzliches Datenvolumen über Ihre 1&1 Control-Center-App**
  * Auf der Startseite Ihrer 1&1 Control-Center-App finden Sie den +1 GB-Button, wenn Sie zusätzliches Datenvolumen aktivieren können. [Weitere Informationen](https://hilfe-center.1und1.de/unlimited)

Haben Sie dazu oder zu einem anderen Thema noch Fragen?",c4f09160d2ff3c2a534f75861a122d16
6d1253111c18c4d77175e3971231c0f8,3,,2025,10,14,00:02:29,USER_MESSAGE,null,Und wo kann mein vetrag mit [NUMBER] zu unlimited wechseln?,d5c773f44aad4b7ba101b23d734b0782
6d1253111c18c4d77175e3971231c0f8,4,,2025,10,14,00:02:32,AGENT_MESSAGE,null,"Um Ihren Vertrag von einem 50 GB Tarif zu einem Unlimited Tarif zu wechseln, können Sie die folgenden Schritte unternehmen:

* **Vertragswechsel zu 1&1 Unlimited**
  * Sie können Ihren Tarif im 1&1 Control-Center ändern. Dort finden Sie die Optionen für einen Tarifwechsel. [Produktinformationen 1&1 Unlimited]([URL])
  * Weitere Details zu den Unlimited Tarifen und deren Konditionen finden Sie ebenfalls im 1&1 Control-Center.

Falls Sie Unterstützung beim Tarifwechsel benötigen, können Sie sich auch direkt an den 1&1 Kundenservice wenden. [Kontaktseite]([URL])

Benötigen Sie weitere Informationen oder haben Sie noch andere Fragen?",8092cc12a37e559929bd42ea02e4a688
6d1253111c18c4d77175e3971231c0f8,5,,2025,10,14,00:03:54,USER_MESSAGE,null,Und wie viel kostet das?,bc88c416da9037b235b92d7ad3e87692
6d1253111c18c4d77175e3971231c0f8,6,,2025,10,14,00:03:56,AGENT_MESSAGE,null,"Nachfolgend finden Sie die wichtigsten Artikel zu Service-Preisen, -Kosten und -Gebühren. Tarif- und Produktpreise können Sie jederzeit aktuell unter [LOCATION] einsehen.

DSL/Glasfaser:
* [DSL-Schaltung, versäumter Vor-Ort-Termin]([LOCATION])
* [1&1 Auslands-Option Euro-Flat für DSL/Glasfaser-Tarife]([LOCATION])
* [1&1 Auslands-Option World-Flat für DSL/Glasfaser-Tarife]([LOCATION])

Vertragsthemen/Allgemeine Gebühren:
* [Vertragsübernahme]([LOCATION])
* [Versandkosten 1&1 Hardware]([LOCATION])
* [1&1 Rücklastschrift- und Mahngebühren]([LOCATION])
* [Kautionsrückzahlung]([LOCATION])

Haben Sie dazu oder zu einem anderen Thema noch Fragen?",5c5b60789c5db1de19d0a286588fd49d
6d1253111c18c4d77175e3971231c0f8,7,,2025,10,14,00:04:18,USER_MESSAGE,null,Nein das unlimited wie viel kostet dasV,b243198834d8b3e70d44cf420acd3b22
6d1253111c18c4d77175e3971231c0f8,8,,2025,10,14,00:04:19,AGENT_MESSAGE,null,"Ich kann Ihnen keine spezifischen Preisinformationen zu den Unlimited-Tarifen direkt mitteilen. Sie können jedoch die aktuellen Tarif- und Produktpreise jederzeit auf der 1&1 Website einsehen. Dort finden Sie alle Details zu den verfügbaren Tarifen und deren Kosten.

Benötigen Sie weitere Informationen oder haben Sie noch andere Fragen?",d7a603535a28fb1407683f368b689b16
c8128a2bfac946de898accee8e09b5b1,1,FEHLER: B1_Unvollstaendig,2025,10,14,00:03:52,USER_MESSAGE,null,[NUMBER] Frist kündigen,6cb1495936f7a5cce823c19390a2c5f8
c8128a2bfac946de898accee8e09b5b1,2,,2025,10,14,00:03:55,AGENT_MESSAGE,null,"Der 1&1 Assistent unterstützt Sie zu all Ihren Fragen zu den 1&1 Produkten und Services.

Um Ihren 1&1 Vertrag zu kündigen, können Sie die Kündigung online vormerken. Hier sind die Schritte, die Sie befolgen können:

* **Kündigung online vormerken**
  * Sie können Ihre Kündigung über das 1&1 Control-Center vormerken. Dies ist einfach und ermöglicht Ihnen, alle wichtigen Daten Ihrer Verträge, wie Laufzeiten, auf einen Blick einzusehen. Anschließend haben Sie 7 Tage Zeit, um die Kündigung telefonisch zu bestätigen. [Mehr erfahren](https://hilfe-center.1und1.de/kuendigung-online)

* **Kündigung im 1&1 Control-Center**
  * Öffnen Sie das 1&1 Control-Center und melden Sie sich mit Ihrer [EMAIL] oder [NUMBER] und Ihrem Passwort an. Wählen Sie den gewünschten Vertrag aus und klicken Sie auf „Vertrag kündigen“. Folgen Sie den Anweisungen, um die Kündigung vorzumerken. [Details hier](https://hilfe-center.1und1.de/vertrag-kuendigen)

Falls Sie weitere Fragen haben oder Unterstützung benötigen, lassen Sie es mich wissen!",f72e14a6504ae40f88a2bb0ae2dbb144
